2025-10-13T02:56:30.373Z||OFmotO7LAxwFAryL||C||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logLight":true,"logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logVersion":"1.0.2","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-10-13 02:56:31.592||694TN2lXN8OFRqRlTRYMCtkyQQtcIST5|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.594||694TN2lXN8OFRqRlTRYMCtkyQQtcIST5|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.595||694TN2lXN8OFRqRlTRYMCtkyQQtcIST5|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.596||AjxqzFGv936U9Wz31vgqG2N6Thw9fBUq|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.596||AjxqzFGv936U9Wz31vgqG2N6Thw9fBUq|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.596||AjxqzFGv936U9Wz31vgqG2N6Thw9fBUq|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.596||4tvVXssjB7NVqQPqYvmeRLdowS0faW9Z|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.596||4tvVXssjB7NVqQPqYvmeRLdowS0faW9Z|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.596||4tvVXssjB7NVqQPqYvmeRLdowS0faW9Z|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.596||4SWsw0OGh8fh6tlhG8YNfNqHQNPnCblH|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.596||4SWsw0OGh8fh6tlhG8YNfNqHQNPnCblH|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.596||4SWsw0OGh8fh6tlhG8YNfNqHQNPnCblH|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.596||1l1dP2ADdmCteX7wZ0QZaU9vOseA1kPN|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.596||1l1dP2ADdmCteX7wZ0QZaU9vOseA1kPN|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.596||1l1dP2ADdmCteX7wZ0QZaU9vOseA1kPN|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.597||IHtasGzlHQdTNeKrO391DYBYWDH9vb8U|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.597||IHtasGzlHQdTNeKrO391DYBYWDH9vb8U|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.597||IHtasGzlHQdTNeKrO391DYBYWDH9vb8U|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.597||5GQnE1udXvPy6KnQ0s5wcHas97bOG9Yc|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.597||5GQnE1udXvPy6KnQ0s5wcHas97bOG9Yc|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.597||5GQnE1udXvPy6KnQ0s5wcHas97bOG9Yc|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.597||2Bak7fSf9Mdu0XqKoKZNqKjIxTatv5ma|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.597||2Bak7fSf9Mdu0XqKoKZNqKjIxTatv5ma|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.597||2Bak7fSf9Mdu0XqKoKZNqKjIxTatv5ma|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.597||6AgnEKHu9LxEab3CPkefNLivFt7NaXW3|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.597||6AgnEKHu9LxEab3CPkefNLivFt7NaXW3|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.597||6AgnEKHu9LxEab3CPkefNLivFt7NaXW3|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:31.598||7E0SokIx5b1JvZCwEiwOyKok2etBMLdH|1|J|#.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:56:31.598||7E0SokIx5b1JvZCwEiwOyKok2etBMLdH|2|T|#.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:56:31.598||7E0SokIx5b1JvZCwEiwOyKok2etBMLdH|3|J|#.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:56:34.573||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57000"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["broking"],"driverLisenceId":["123456"],"age":["1001"]}}]
2025-10-13 02:56:34.706||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|2|J|#.ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-10-13 02:56:34.706||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|3|J|#.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-13 02:56:34.716||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|4|J|#.UserService#save#0#|[{"user":{"name":"broking","id":0,"driverLisenceId":"123456","age":1001,"birthday":null}}]
2025-10-13 02:56:35.173||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57001"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-10-13 02:56:35.176||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|2|J|#.MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-10-13 02:56:35.176||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|3|J|#.ForStaticMethod#query#11#|[{"userId":1760324195176,"page":null}]
2025-10-13 02:56:35.177||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|4|J|#.ForStaticMethod#query#11#R|["7e2dfb45-e5e0-42ed-a532-2703ecc7a237"]
2025-10-13 02:56:35.182||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|5|J|#.MedicService#save#48#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-10-13 02:56:35.182||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|6|J|#.MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-10-13 02:56:35.183||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|7|J|#.MedicDAO#save#36#R|[{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-10-13 02:56:35.183||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|8|J|#.MedicService#save#54|[{"userId":0}]
2025-10-13 02:56:35.319||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|4-1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57006"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/save"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:35.319||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|8-1|H|#.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:57007"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-13 02:56:35.619||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|5|J|#.UserService#save#0#R|[{"name":"broking","id":789,"driverLisenceId":"123456","age":1001,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:35.620||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|6|J|#.ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-10-13 02:56:35.620||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|7|J|#.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-13 02:56:35.619||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|9|J|#.MedicService#save#54R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:35.620||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|10|J|#.MedicService#save#48#R|[{"medicConditionDO":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0},"user":{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","age":null,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}}]
2025-10-13 02:56:35.615||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|4-2|J|#.UserServiceImpl#save#60#|[{"user":{"name":"broking","id":0,"driverLisenceId":"123456","age":1001,"birthday":null}}]
2025-10-13 02:56:35.615||1f2P1hWFcAxKun80Cl3XyOCLnJx0Dxa9|4-3|J|#.UserServiceImpl#save#60#R|[{"name":"broking","id":789,"driverLisenceId":"123456","age":1001,"birthday":"Sun Aug 10 09:42:17 EDT 2025"}]
2025-10-13 02:56:35.478||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|8-2|J|#.UserServiceImpl#getById#24#|[{"userId":0}]
2025-10-13 02:56:35.478||65eH3oaan2hL5mO27IoRTdMlTZpymgJj|8-3|J|#.UserServiceImpl#getById#29|["This should be remote service, will be with trace",0]
