2025-10-13T02:56:59.730Z||2Ado2AVcmr50U6Ob||CONF||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"],"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logVersion":"1.0.2","logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logLight":false}}]
2025-10-13 02:57:00.770|scheduling-1#52|El2XMUrx16D5BNGEhn98hdsIUpF4XMf5|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.773|scheduling-1#52|El2XMUrx16D5BNGEhn98hdsIUpF4XMf5|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.774|scheduling-1#52|El2XMUrx16D5BNGEhn98hdsIUpF4XMf5|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.775|scheduling-1#52|6juRmrAN5yEn2lV5JX2neKhHZS3mHlLW|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.775|scheduling-1#52|6juRmrAN5yEn2lV5JX2neKhHZS3mHlLW|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.775|scheduling-1#52|6juRmrAN5yEn2lV5JX2neKhHZS3mHlLW|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.775|scheduling-1#52|4UTwXGyouBui0JCs8792UtzOSq8xFx1N|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.775|scheduling-1#52|4UTwXGyouBui0JCs8792UtzOSq8xFx1N|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.775|scheduling-1#52|4UTwXGyouBui0JCs8792UtzOSq8xFx1N|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.776|scheduling-1#52|31k1HbFO5CirZxBEVeG8UmgZUiEgKLVn|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.776|scheduling-1#52|31k1HbFO5CirZxBEVeG8UmgZUiEgKLVn|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.776|scheduling-1#52|31k1HbFO5CirZxBEVeG8UmgZUiEgKLVn|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.776|scheduling-1#52|4AlVHNO1hQeJxG5rc1Z4rmVDXLqkNbok|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.776|scheduling-1#52|4AlVHNO1hQeJxG5rc1Z4rmVDXLqkNbok|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.776|scheduling-1#52|4AlVHNO1hQeJxG5rc1Z4rmVDXLqkNbok|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.776|scheduling-1#52|36XkQTCJT1YGqjh79PCLfE34OLvUAfeP|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.776|scheduling-1#52|36XkQTCJT1YGqjh79PCLfE34OLvUAfeP|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.776|scheduling-1#52|36XkQTCJT1YGqjh79PCLfE34OLvUAfeP|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.776|scheduling-1#52|hv1jW3Sob5Tjlm6i2pYIhHbIXxJtMBQS|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.776|scheduling-1#52|hv1jW3Sob5Tjlm6i2pYIhHbIXxJtMBQS|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.776|scheduling-1#52|hv1jW3Sob5Tjlm6i2pYIhHbIXxJtMBQS|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.777|scheduling-1#52|6aZvXnEwHqVqfJKaCMr5rK5ysDlYeiiK|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.777|scheduling-1#52|6aZvXnEwHqVqfJKaCMr5rK5ysDlYeiiK|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.777|scheduling-1#52|6aZvXnEwHqVqfJKaCMr5rK5ysDlYeiiK|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.777|scheduling-1#52|2SuzuVVEyNouFohMEtnLIc2SOSYMUgEC|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.777|scheduling-1#52|2SuzuVVEyNouFohMEtnLIc2SOSYMUgEC|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.777|scheduling-1#52|2SuzuVVEyNouFohMEtnLIc2SOSYMUgEC|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:00.777|scheduling-1#52|6KKyv5VQgCS7DAlGVreYRt6lF8HtnFZv|1|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-13 02:57:00.777|scheduling-1#52|6KKyv5VQgCS7DAlGVreYRt6lF8HtnFZv|2|TEXT|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-13 02:57:00.777|scheduling-1#52|6KKyv5VQgCS7DAlGVreYRt6lF8HtnFZv|3|JSON|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-13 02:57:05.661|scheduling-1#52|1DDotrSjCchyeq6RTt7Cx7QUZYCzr95Q|1|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-10-13 02:57:05.661|scheduling-1#52|1DDotrSjCchyeq6RTt7Cx7QUZYCzr95Q|2|JSON|SMTPEmailScheduler.java#io.bitryon.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
2025-10-13 02:57:06.084|http-nio-80-exec-2#41|5MKMNbWgmFE5duFRcPkurFAPhVP3b0Fq|1|HTTP|LoggingHttpRequestWebReader.java#io.bitryon.logger.spring.LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:57140"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
