2025-10-22T23:53:22.961Z||Ryoi9pE5D1lcyhJA||C|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"httpHeaderIdType":1,"applicationName":"bitryon-logging-integration-java-spring-example","hostId":"node-123.test.test"},"Github":{"repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"logLight":true,"logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-10-22 23:53:24.086|52|7Q9Ezi1LWfqv52sQpzM3cvdMTe0fh4lo|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.088|52|48zdRboMSDPOUizygyPWRAxfoc1ZtSaI|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-22 23:53:24.089|52|48zdRboMSDPOUizygyPWRAxfoc1ZtSaI|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.089|52|48zdRboMSDPOUizygyPWRAxfoc1ZtSaI|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-22 23:53:24.090|52|6Goojuus2co7YiYuJMFj9rDerBBghlT3|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-22 23:53:24.090|52|6Goojuus2co7YiYuJMFj9rDerBBghlT3|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.090|52|6Goojuus2co7YiYuJMFj9rDerBBghlT3|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-22 23:53:24.090|52|54gOFSrXjwdNDEbqrqVmLouaeVGY4uvG|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.090|52|6KreL99TjjlfuceWuR4e9GFP0yjBWxll|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-22 23:53:24.090|52|6KreL99TjjlfuceWuR4e9GFP0yjBWxll|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.090|52|6KreL99TjjlfuceWuR4e9GFP0yjBWxll|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-22 23:53:24.090|52|cknnrYVdq2RjjbQfVh9Ro1V1JCsYU9Ar|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.091|52|KW9FfWf9RDQw83p9MKkyYwJNzuXUqZUQ|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.091|52|40JKYaZ8XvME7xEPY3Fomd39n6Iy6V8m|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.091|52|7N78wWsvaz5IuZftwsZ9Juj1MgZVIhKa|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-10-22 23:53:24.091|52|7N78wWsvaz5IuZftwsZ9Juj1MgZVIhKa|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:24.091|52|7N78wWsvaz5IuZftwsZ9Juj1MgZVIhKa|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-10-22 23:53:24.091|52|5VLaiGHLZHRekogtLKtyYKpE8cABHOew|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-10-22 23:53:28.047|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60338"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/get_by_id"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:27.262|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60331"},{"method":"GET"},{"requestURL":"http://localhost/api/user/save"},{"headers":{}},{"body":{"name":["br***ng"],"driverLisenceId":["******"],"age":["1001"]}}]
2025-10-22 23:53:27.401|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|2|J||#ForStaticMethod#runStatic#15#|[{"userId":0}]
2025-10-22 23:53:27.401|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|3|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-22 23:53:27.411|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4|J||#UserService#save#0#|[{"user":{"name":"broking","id":0,"driverLisenceId":"123456","birthday":null,"age":1001}}]
2025-10-22 23:53:27.909|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60332"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/save"},{"headers":{}},{"body":{"id":["123"],"deceases":["unkown"]}}]
2025-10-22 23:53:27.911|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|2|J||#MedicConditionController#save#64|["save request paylod, should be with trace",{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-10-22 23:53:27.911|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|3|J||#ForStaticMethod#query#11#|[{"userId":1761177207911,"page":null}]
2025-10-22 23:53:27.911|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|4|J||#ForStaticMethod#query#11#R|["4ca4eec7-1e6e-4e6b-b1f7-dbdd28d74cf5"]
2025-10-22 23:53:27.916|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|5|J||#MedicService#save#48#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-10-22 23:53:27.917|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|6|J||#MedicDAO#save#36#|[{"condition":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}}]
2025-10-22 23:53:27.917|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|7|J||#MedicDAO#save#36#R|[{"id":123,"deceases":"unkown","timeCreated":0,"userId":0}]
2025-10-22 23:53:27.917|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8|J||#MedicService#save#54|[{"userId":0}]
2025-10-22 23:53:28.047|42|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4-1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"127.0.0.1:60337"},{"method":"POST"},{"requestURL":"http://localhost/remote_api/user/save"},{"headers":{}},{"body":{}}]
2025-10-22 23:53:28.216|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-2|J||#UserServiceImpl#getById#24#|[{"userId":0}]
2025-10-22 23:53:28.217|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-3|T||#UserServiceImpl#getById#29|This should be remote service, will be with trace for user 0
2025-10-22 23:53:28.217|43|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|8-4|J||#UserServiceImpl#getById#24#R|[{"name":"randome guy probably","id":123,"driverLisenceId":"a number that you can't know","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":null}]
2025-10-22 23:53:28.361|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|5|J||#UserService#save#0#R|[{"name":"broking","id":789,"driverLisenceId":"123456","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":1001}]
2025-10-22 23:53:28.361|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|6|J||#ForStaticMethod#runStatic#15#|[{"userId":789}]
2025-10-22 23:53:28.361|40|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|7|J||#ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-10-22 23:53:28.361|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|9|J||#MedicService#save#54R|[{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}]
2025-10-22 23:53:28.361|41|42pTWYesmzFhDsxFqerdD501YZQ9fiP0|10|J||#MedicService#save#48#R|[{"medicConditionDO":{"id":123,"deceases":"unkown","timeCreated":0,"userId":0},"user":{"name":"ra***ly","id":123,"driverLisenceId":"****************************","age":null}}]
2025-10-22 23:53:28.356|42|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4-2|J||#UserServiceImpl#save#60#|[{"user":{"name":"broking","id":0,"driverLisenceId":"123456","birthday":null,"age":1001}}]
2025-10-22 23:53:28.357|42|5Yg6vcPviAznMfxS9SlA3Oq0wb91wIip|4-3|J||#UserServiceImpl#save#60#R|[{"name":"broking","id":789,"driverLisenceId":"123456","birthday":"Sun Aug 10 09:42:17 EDT 2025","age":1001}]
2025-10-22 23:53:28.952|52|5F6dp0zUMnBoEkH3dAe2RPg02I3F7ZcV|1|J||#SMTPEmailScheduler#runMailRunnable#25#|[null]
2025-10-22 23:53:28.953|52|5F6dp0zUMnBoEkH3dAe2RPg02I3F7ZcV|2|J||#SMTPEmailScheduler#runMailRunnable#25#R|[null]
2025-10-22 23:53:28.942|44|3of9vHoIIbIZliZnfAIHcPiX4S630E72|1|H||#LoggingHttpRequestWebReader#readHttpRequest#31|[{"remoteHost":"0:0:0:0:0:0:0:1:60332"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"headers":{}},{"body":{}}]
